Type,Electrolyte,Width [s],Interval [s],Train pulses #,Resistor,Measure #,Polarization,IDSmed [A],IDSmed [A],delIDS [A],delIDS [A],Gn [S],Gn [S]
Bicamada,KCl,0.1,0.03,10,0,30,neg,8.137671238728217e-05,3.0318692791893968e-06,1.970518799984193e-08,4.838704827887569e-09,5.920516437048008e-06,3.266619303289527e-06
Bicamada,KCl,0.1,0.03,10,0,31,pos,8.12905947592905e-05,3.041489859146822e-06,-8.611762799167837e-08,2.226105629666594e-08,5.50313065844379e-06,5.061333929610039e-06
Bicamada,KCl,0.1,0.03,10,0,32,pos,8.123845032059762e-05,3.047570762169489e-06,-5.214443869286852e-08,6.854726310465086e-09,6.3183403094660305e-06,4.459706162201154e-06
Bicamada,KCl,0.1,0.03,10,0,33,pos,8.11978369862724e-05,3.0522002173286725e-06,-4.061333432521982e-08,1.719440461782035e-08,2.860130698573059e-06,3.8972428381968355e-06
Bicamada,KCl,0.1,0.03,10,0,34,pos,8.117509552600193e-05,3.0523040150907658e-06,-2.2741460270481184e-08,1.1668175690075628e-09,3.2867682904887596e-06,5.041790198406656e-06
Bicamada,KCl,0.1,0.03,10,0,35,pos,8.115256688749166e-05,3.0564104263483567e-06,-2.2528638510261806e-08,5.322313086557644e-09,3.519400386651717e-06,4.867307019751491e-06
Bicamada,KCl,0.1,0.03,10,0,36,pos,8.114081038002041e-05,3.063970839209816e-06,-1.1756507471242612e-08,7.565745924148747e-09,2.653157223891958e-06,2.6990204618630473e-06
Bicamada,KCl,0.1,0.03,10,0,37,pos,8.112584077935026e-05,3.0600897973852813e-06,-1.4969600670165105e-08,1.2892388407590272e-08,2.8696048728995955e-06,4.959349497066096e-06
Bicamada,KCl,0.1,0.03,10,0,38,pos,8.111361595789883e-05,3.0537701298928158e-06,-1.2224821451421482e-08,6.505726126188739e-09,1.458690271223832e-06,2.319307053059651e-06
Bicamada,KCl,0.1,0.03,10,0,39,pos,8.110908447633847e-05,3.0624826136762608e-06,-4.531481560362985e-09,8.980924007012723e-09,2.490989506274329e-06,2.306384901321405e-06
Bicamada,KCl,0.1,0.03,10,0,40,pos,8.109008649626048e-05,3.0599633893986688e-06,-1.899798007798381e-08,4.700376876290972e-09,2.241095230841418e-06,4.34980424661261e-06
Bicamada,KCl,0.1,0.03,10,0,41,neg,8.115078063989738e-05,3.039597898916925e-06,6.069414363688945e-08,3.2475032807738276e-08,6.3958540175888925e-06,1.4572474868234076e-06
Bicamada,KCl,0.1,0.03,10,0,42,neg,8.120438451442169e-05,3.0366318783283054e-06,5.3603874524317994e-08,5.63022665902008e-09,5.9499731803515825e-06,4.4753515513306915e-06
Bicamada,KCl,0.1,0.03,10,0,43,neg,8.125533577185706e-05,3.0273606740609926e-06,5.0951257435372106e-08,1.8493883070691655e-08,5.381034407893684e-06,3.8062978415987057e-06
Bicamada,KCl,0.1,0.03,10,0,44,neg,8.12829028594327e-05,3.030222499313422e-06,2.7567087575638045e-08,2.9887091347083565e-09,5.597965763356131e-06,3.5878230757645384e-06
Bicamada,KCl,0.1,0.03,10,0,45,neg,8.130909183516148e-05,3.01538504464232e-06,2.6188975728781138e-08,1.520878304655854e-08,5.557792191207599e-06,1.915016583565104e-06
Bicamada,KCl,0.1,0.03,10,0,46,neg,8.133041910696193e-05,3.0112362266139587e-06,2.132727180044491e-08,4.7491292715213625e-09,4.1334643777909816e-06,2.413990703893466e-06
Bicamada,KCl,0.1,0.03,10,0,47,neg,8.134426805857704e-05,3.0125233637725e-06,1.3848951615121527e-08,3.876149251544687e-09,6.570884597691805e-06,5.830034765371274e-06
Bicamada,KCl,0.1,0.03,10,0,48,neg,8.136062911034969e-05,3.016629918597364e-06,1.6361051772648022e-08,1.1456176192887534e-08,6.81112917403957e-06,1.7137053908435157e-06
Bicamada,KCl,0.1,0.03,10,0,49,neg,8.137965725533529e-05,3.023952881316832e-06,1.9028144985588098e-08,8.06622624827033e-09,7.5991716382769305e-06,4.794848127086089e-06
Bicamada,KCl,0.1,0.03,10,0,50,neg,8.13924658208028e-05,3.0111525451196106e-06,1.2808565467518442e-08,1.3415697379082136e-08,7.97940470536981e-06,1.9491765151202257e-06
Bicamada,KCl,0.1,0.03,10,0,51,pos,8.130411652018665e-05,3.04776706291834e-06,-8.834930061614917e-08,4.4453735088659786e-08,7.528520373800356e-06,3.21266784835928e-06
Bicamada,KCl,0.1,0.03,10,0,52,pos,8.12485996751396e-05,3.0437634547976786e-06,-5.551684504704706e-08,1.6900911336185125e-08,3.958224120915236e-06,3.0297876173500085e-06
Bicamada,KCl,0.1,0.03,10,0,53,pos,8.121564928842417e-05,3.0456604526546332e-06,-3.2950386715436523e-08,2.313832884501062e-09,4.897511126253174e-06,4.345185888367652e-06
Bicamada,KCl,0.1,0.03,10,0,54,pos,8.118445998661628e-05,3.0488278076750816e-06,-3.118930180789451e-08,1.1829468038570156e-08,4.115427307129054e-06,2.7720913312922214e-06
Bicamada,KCl,0.1,0.03,10,0,55,pos,8.116037687007822e-05,3.0563600368246496e-06,-2.408311653804655e-08,9.061065861957708e-09,2.5483224074444592e-06,1.7706837962647632e-06
Bicamada,KCl,0.1,0.03,10,0,56,pos,8.114991381565535e-05,3.053245167717122e-06,-1.046305442287121e-08,3.2284109202650125e-09,3.4171513718410126e-06,4.501451212478138e-06
Bicamada,KCl,0.1,0.03,10,0,57,pos,8.113491655118803e-05,3.0567066057795532e-06,-1.4997264467334997e-08,8.200059225032578e-09,4.182101473321173e-06,3.3585736146045284e-06
Bicamada,KCl,0.1,0.03,10,0,58,pos,8.112488649203442e-05,3.0568355828528277e-06,-1.0030059153602148e-08,2.5680546852336576e-09,2.9586746605083304e-06,3.7846861931915113e-06
Bicamada,KCl,0.1,0.03,10,0,59,pos,8.11148847030078e-05,3.0615939142578853e-06,-1.000178902662204e-08,5.984221161121995e-09,3.371889765393946e-06,2.6614097925057778e-06
Bicamada,KCl,0.1,0.03,10,0,60,pos,8.110449766718375e-05,3.054922705485787e-06,-1.0387035824043505e-08,7.16966597710637e-09,2.945354106061424e-06,4.075589538752942e-06
Bicamada,KCl,0.1,0.03,10,0,61,neg,8.115884861581435e-05,3.031662137412565e-06,5.43509486305948e-08,3.2867848693018136e-08,5.112412583490454e-06,5.347006949138195e-06
Bicamada,KCl,0.1,0.03,10,0,62,neg,8.122034569169045e-05,3.0343146792179732e-06,6.149707587610465e-08,1.6201791575744866e-08,5.198152097475515e-06,5.733594904862784e-06
Bicamada,KCl,0.1,0.03,10,0,63,neg,8.126216425807797e-05,3.021867508029968e-06,4.1818566387523773e-08,1.245525007251993e-08,4.977362361117217e-06,4.8306218675543625e-06
Bicamada,KCl,0.1,0.03,10,0,64,neg,8.128815185652154e-05,3.0211850398152904e-06,2.5987598443554542e-08,2.4510931814573365e-09,4.7161931400518265e-06,2.443921699360577e-06
Bicamada,KCl,0.1,0.03,10,0,65,neg,8.131689795239556e-05,3.0195163251114897e-06,2.874609587404087e-08,2.3837521743197387e-09,5.132713590561853e-06,2.4973003102945983e-06
Bicamada,KCl,0.1,0.03,10,0,66,neg,8.133049959724303e-05,3.018018688307344e-06,1.360164484745992e-08,1.7275493997719018e-09,6.46095779143913e-06,3.572310018431437e-06
Bicamada,KCl,0.1,0.03,10,0,67,neg,8.135258106752492e-05,3.018610564764672e-06,2.2081470281894628e-08,7.47556538817246e-09,7.505132508981714e-06,5.231358770833822e-06
Bicamada,KCl,0.1,0.03,10,0,68,neg,8.136456593395754e-05,3.0211504604495613e-06,1.1984866432612762e-08,2.5589355811404095e-09,6.399697512360944e-06,1.8352481742467558e-06
Bicamada,KCl,0.1,0.03,10,0,69,neg,8.13967536335743e-05,3.0180368508624034e-06,3.218769961677026e-08,8.130605530177779e-09,8.29908040524372e-06,2.9003638654648465e-06
Bicamada,KCl,0.1,0.03,10,0,70,neg,8.140072986861924e-05,3.0148500191384363e-06,3.976235044926095e-09,3.8723973906130965e-09,8.14009969431752e-06,2.0154728850668044e-06
Bicamada,KCl,0.1,0.03,10,0,71,pos,8.131198471043415e-05,3.0439387875263407e-06,-8.874515818509586e-08,3.882536274439736e-08,7.871282547174864e-06,2.8088908456392812e-06
Bicamada,KCl,0.1,0.03,10,0,72,pos,8.125586714413657e-05,3.0435190323032363e-06,-5.611756629756807e-08,4.117549623452646e-09,6.8323111742559055e-06,6.094238726626602e-07
Bicamada,KCl,0.1,0.03,10,0,73,pos,8.121513504496154e-05,3.0474478626298626e-06,-4.073209917502633e-08,1.4286108817944042e-08,6.264580264221115e-06,1.7445735568757075e-06
Bicamada,KCl,0.1,0.03,10,0,74,pos,8.11976296214804e-05,3.0516591933678084e-06,-1.750542348114929e-08,4.769573909446032e-09,5.352438325488273e-06,8.088686859418704e-07
Bicamada,KCl,0.1,0.03,10,0,75,pos,8.117322712071957e-05,3.048853330335606e-06,-2.4402500760819148e-08,2.8699413383525415e-09,4.282694248091291e-06,2.1573345260546588e-06
Bicamada,KCl,0.1,0.03,10,0,76,pos,8.115488518948648e-05,3.056082286663796e-06,-1.834193123310946e-08,7.373956535325641e-09,4.108434415173493e-06,1.2349747742458494e-06
Bicamada,KCl,0.1,0.03,10,0,77,pos,8.114043907880841e-05,3.0522022042550384e-06,-1.4446110678056084e-08,4.024533493395474e-09,2.9514220591094742e-06,8.066030302307255e-07
Bicamada,KCl,0.1,0.03,10,0,78,pos,8.112486981796489e-05,3.048541206858941e-06,-1.556926084352954e-08,1.535516954624177e-08,4.17848992932932e-06,1.5496360965804116e-06
Bicamada,KCl,0.1,0.03,10,0,79,pos,8.112158980111417e-05,3.0575851561345687e-06,-3.2800168507144006e-09,1.1139230819463038e-08,3.2713058703673042e-06,7.570763965730771e-07
Bicamada,KCl,0.1,0.03,10,0,80,pos,8.110769143362025e-05,3.054121265171042e-06,-1.3898367493917855e-08,1.2952974494733227e-08,3.4344393654330368e-06,2.540264888080948e-06
Bicamada,KCl,0.1,0.03,10,0,81,neg,8.11647369118873e-05,3.0378770756045263e-06,5.70454782670519e-08,4.000770732204618e-08,2.9702979083962282e-06,3.512256900334001e-07
Bicamada,KCl,0.1,0.03,10,0,82,neg,8.123019491298085e-05,3.0287184368269907e-06,6.54580010935509e-08,1.542384584027793e-08,4.2439295625520245e-06,1.01913721560616e-06
Bicamada,KCl,0.1,0.03,10,0,83,neg,8.126738089231367e-05,3.0267116566934368e-06,3.718597933281369e-08,6.192775159273983e-09,5.027262700994426e-06,2.721995508914512e-06
Bicamada,KCl,0.1,0.03,10,0,84,neg,8.130081422071574e-05,3.0193299804868465e-06,3.3433328402068915e-08,7.395385059684688e-09,4.516819305212414e-06,4.412506728604054e-06
Bicamada,KCl,0.1,0.03,10,0,85,neg,8.131918654423013e-05,3.0152565794816427e-06,1.837232351438919e-08,4.0961687223546685e-09,4.250377020724341e-06,3.7096768463264815e-06
Bicamada,KCl,0.1,0.03,10,0,86,neg,8.133863912007655e-05,3.019821119734314e-06,1.94525758464245e-08,6.826088459535994e-09,3.814813035157741e-06,3.923265828640948e-06
Bicamada,KCl,0.1,0.03,10,0,87,neg,8.135448524626554e-05,3.0233655985454046e-06,1.584612618898973e-08,3.5696532837435817e-09,4.318741491842906e-06,3.757215953639951e-06
Bicamada,KCl,0.1,0.03,10,0,88,neg,8.137582373516732e-05,3.0123002945859053e-06,2.1338488901775812e-08,1.3716374528352258e-08,8.048183762864636e-06,5.077961900285945e-06
Bicamada,KCl,0.1,0.03,10,0,89,neg,8.138755136618177e-05,3.015522860864557e-06,1.1727631014456802e-08,4.657323307959685e-09,5.823509264747593e-06,6.757291778062848e-06
Bicamada,KCl,0.1,0.03,10,0,90,neg,8.140216914398479e-05,3.0178159626414583e-06,1.461777780302024e-08,5.051577978742086e-09,6.665180979930107e-06,6.498829986741411e-06
Bicamada,KCl,0.1,0.03,10,0,91,pos,8.131841779383346e-05,3.0418371837403213e-06,-8.375135015133613e-08,3.520171835290877e-08,9.744226998617501e-06,1.3634518036049854e-06
Bicamada,KCl,0.1,0.03,10,0,92,pos,8.126211969283759e-05,3.0588926869466847e-06,-5.629810099587452e-08,2.502077808973898e-08,4.611006052439362e-06,5.052107095396247e-06
Bicamada,KCl,0.1,0.03,10,0,93,pos,8.12307013499473e-05,3.056583240098709e-06,-3.1418342890291e-08,2.393829343373065e-09,3.588845854520439e-06,4.727700571044424e-06
Bicamada,KCl,0.1,0.03,10,0,94,pos,8.120658958432614e-05,3.050328896107794e-06,-2.4111765621152397e-08,7.029524534197764e-09,6.497078776490379e-06,4.9981280544566075e-06
Bicamada,KCl,0.1,0.03,10,0,95,pos,8.118012548645008e-05,3.0541660029133324e-06,-2.6464097876058413e-08,3.8502304552536395e-09,3.465202628056283e-06,5.036556430593631e-06
Bicamada,KCl,0.1,0.03,10,0,96,pos,8.115858834874719e-05,3.0597190308727572e-06,-2.153713770288805e-08,5.55956977159004e-09,4.671898262589059e-06,2.8013866913812738e-06
Bicamada,KCl,0.1,0.03,10,0,97,pos,8.11445800839768e-05,3.054825046751444e-06,-1.4008264770382084e-08,1.2846849217522015e-08,2.992038830774408e-06,3.4016913402930576e-06
Bicamada,KCl,0.1,0.03,10,0,98,pos,8.113714094785489e-05,3.0583811673283e-06,-7.439136121926519e-09,6.013485502154883e-09,3.4865791126953978e-06,6.128271326280125e-06
Bicamada,KCl,0.1,0.03,10,0,99,pos,8.112474210975051e-05,3.0626389634607564e-06,-1.2398838104365223e-08,4.919532865482745e-09,1.5636837552313245e-06,6.4935904896425716e-06
Bicamada,KCl,0.1,0.03,10,0,100,pos,8.111176240769662e-05,3.050074481170301e-06,-1.2979702053906567e-08,1.8018737703314114e-08,2.5188797596349343e-06,5.652998430122509e-06
Bicamada,KCl,0.1,0.03,10,0,101,neg,8.116937010527181e-05,3.0385239432331487e-06,5.760769757520238e-08,4.532044845459199e-08,1.2597405949820964e-06,5.970836588714569e-06
Bicamada,KCl,0.1,0.03,10,0,102,neg,8.122478114576855e-05,3.0285094219295815e-06,5.5411040496740816e-08,1.0279797474942547e-08,3.2578531021038603e-06,4.671734320822678e-06
Bicamada,KCl,0.1,0.03,10,0,103,neg,8.126744963495487e-05,3.0291749664164837e-06,4.266848918632152e-08,6.437740089638009e-09,2.324004133960878e-06,5.978085226656023e-06
Bicamada,KCl,0.1,0.03,10,0,104,neg,8.129443782915284e-05,3.0128949743105657e-06,2.6988194197959576e-08,2.088296392618827e-08,4.208743232392923e-06,1.9059224689013218e-06
Bicamada,KCl,0.1,0.03,10,0,105,neg,8.132022677879529e-05,3.023074887612105e-06,2.578894964245134e-08,1.0670037000872506e-08,5.433688485149137e-06,5.215104812924113e-06
Bicamada,KCl,0.1,0.03,10,0,106,neg,8.133778351293586e-05,3.0132385910601835e-06,1.7556734140569794e-08,9.8609579239689e-09,5.320736215846669e-06,4.757761843630434e-06
Bicamada,KCl,0.1,0.03,10,0,107,neg,8.136379225713124e-05,3.0136423815298633e-06,2.6008744195375285e-08,9.2061953943822e-10,2.8946717079722244e-06,5.665959975048584e-06
Bicamada,KCl,0.1,0.03,10,0,108,neg,8.137278625023707e-05,3.0130549582584504e-06,8.993993105832487e-09,4.409537425630876e-09,3.5354508398281834e-06,7.982262582841254e-06
Bicamada,KCl,0.1,0.03,10,0,109,neg,8.139490614667011e-05,3.0218790048613155e-06,2.2119896433044534e-08,9.629599918970715e-09,5.189979529427503e-06,6.145096240271458e-06
Bicamada,KCl,0.1,0.03,10,0,110,neg,8.140693027295735e-05,3.011382996006451e-06,1.2024126287230258e-08,1.2471028652750784e-08,3.331917464343474e-06,5.54352123522345e-06
Bicamada,KCl,0.1,0.03,10,0,111,pos,8.132086372825142e-05,3.036202958439044e-06,-8.606654470591523e-08,3.179591457499192e-08,4.878730517766295e-06,4.368623315619096e-06
Bicamada,KCl,0.1,0.03,10,0,112,pos,8.126454599732824e-05,3.0450763717120843e-06,-5.631773092318327e-08,1.5387277196612632e-08,4.74589943516333e-06,5.285412277120204e-06
Bicamada,KCl,0.1,0.03,10,0,113,pos,8.122590891919874e-05,3.0475081371228374e-06,-3.8637078129492394e-08,6.116131508805658e-09,2.669533306826898e-06,6.206920100994608e-06
Bicamada,KCl,0.1,0.03,10,0,114,pos,8.119904994903966e-05,3.0463420339730218e-06,-2.6858970159082673e-08,1.881691292871854e-09,4.062696410604086e-06,5.909337103401388e-06
Bicamada,KCl,0.1,0.03,10,0,115,pos,8.117804342570405e-05,3.0531497634683468e-06,-2.100652333562418e-08,7.000790584021716e-09,1.9915547053008776e-06,5.550808746733937e-06
Bicamada,KCl,0.1,0.03,10,0,116,pos,8.116309497078571e-05,3.0489859042290013e-06,-1.4948454918344368e-08,7.247480450336337e-09,3.1307501026758516e-06,3.7133320286562763e-06
Bicamada,KCl,0.1,0.03,10,0,117,pos,8.115360204404472e-05,3.0498844699138144e-06,-9.492926740975569e-09,1.5768313791495187e-09,3.568019672386567e-06,2.574905157241572e-06
Bicamada,KCl,0.1,0.03,10,0,118,pos,8.113422942794084e-05,3.055637444704875e-06,-1.937261610388911e-08,6.780167931259601e-09,2.099020798822823e-06,2.7778442236367535e-06
Bicamada,KCl,0.1,0.03,10,0,119,pos,8.111933296580294e-05,3.055388237637315e-06,-1.4896462137888497e-08,1.270744930044747e-08,2.6693955886815967e-06,3.376149025730973e-06
Bicamada,KCl,0.1,0.03,10,0,120,pos,8.111177642907326e-05,3.0458725996564287e-06,-7.556536729680376e-09,9.515653060171089e-09,2.45471388932642e-06,4.17104435631208e-06
Bicamada,KCl,0.1,0.03,10,0,121,neg,8.117070782039566e-05,3.035129744146849e-06,5.893139132239418e-08,2.5106354415587144e-08,4.703770235346386e-06,5.047428479747977e-06
Bicamada,KCl,0.1,0.03,10,0,122,neg,8.123169898984393e-05,3.0302218572744812e-06,6.099116944827057e-08,1.214832788251031e-08,4.5402153623441315e-06,3.855449866839928e-06
Bicamada,KCl,0.1,0.03,10,0,123,neg,8.127361494795575e-05,3.017733735635743e-06,4.191595811181602e-08,1.9324216144407594e-08,5.006801294710199e-06,3.3960628895878594e-06
Bicamada,KCl,0.1,0.03,10,0,124,neg,8.129826725659466e-05,3.0151458283675513e-06,2.4652308638906106e-08,2.709530065063905e-09,6.400134560287222e-06,3.638134411906445e-06
Bicamada,KCl,0.1,0.03,10,0,125,neg,8.132503686889929e-05,3.0138897436187133e-06,2.6769612304633483e-08,2.511040094930333e-09,7.878901214176825e-06,6.9723315190255235e-06
Bicamada,KCl,0.1,0.03,10,0,126,neg,8.134933227665897e-05,3.0228424567386605e-06,2.4295407759685385e-08,1.0692542481650042e-08,7.4156392818347e-06,6.147182937166651e-06
Bicamada,KCl,0.1,0.03,10,0,127,neg,8.13664048564533e-05,3.012929327705713e-06,1.7072579794335042e-08,1.1777722752611427e-08,8.838298596252125e-06,4.417096885258112e-06
Bicamada,KCl,0.1,0.03,10,0,128,neg,8.137570807775774e-05,3.0074350025949656e-06,9.303221304430765e-09,1.114509360421751e-08,9.100218147120254e-06,4.330355018579525e-06
Bicamada,KCl,0.1,0.03,10,0,129,neg,8.139818017601404e-05,3.0092556910835027e-06,2.247209825630611e-08,6.859959930765557e-09,9.001415068438982e-06,4.723096301488066e-06
Bicamada,KCl,0.1,0.03,10,0,130,neg,8.140952741086949e-05,3.0152009438235317e-06,1.1347234855444791e-08,6.355526005664233e-09,8.360022377314709e-06,4.502955250958955e-06
Bicamada,KCl,0.1,0.03,10,0,131,pos,8.132014257474414e-05,3.0314411846821218e-06,-8.938483612534731e-08,3.269957864571067e-08,6.689288901220952e-06,9.429399106736739e-07
Bicamada,KCl,0.1,0.03,10,0,132,pos,8.12669132604545e-05,3.0388471239612396e-06,-5.322931428962881e-08,8.426350159603572e-09,6.729694322166588e-06,4.2382589854656e-06
Bicamada,KCl,0.1,0.03,10,0,133,pos,8.122697825759435e-05,3.0515948099571153e-06,-3.993500286015203e-08,1.9519900624062446e-08,5.076460016287196e-06,5.360317747816282e-06
Bicamada,KCl,0.1,0.03,10,0,134,pos,8.119806739159685e-05,3.053471084618599e-06,-2.8910865997507553e-08,2.991552106700334e-09,5.424205531586328e-06,4.39357065773583e-06
Bicamada,KCl,0.1,0.03,10,0,135,pos,8.118310029203712e-05,3.0455784770547106e-06,-1.4967099559726194e-08,8.807079948996159e-09,6.338822708396861e-06,5.451303921019425e-06
Bicamada,KCl,0.1,0.03,10,0,136,pos,8.116026386536153e-05,3.055997836337316e-06,-2.283642667559131e-08,1.0420929615273589e-08,6.563568442846227e-06,3.517222518867851e-06
Bicamada,KCl,0.1,0.03,10,0,137,pos,8.115182337557296e-05,3.055101804548052e-06,-8.440489788578512e-09,1.7384830392802264e-09,4.004806981822708e-06,3.0094272715277404e-06
Bicamada,KCl,0.1,0.03,10,0,138,pos,8.113967358743442e-05,3.0595194949034452e-06,-1.2149788138534253e-08,6.2529500930543725e-09,4.666750537825533e-06,3.974734005054066e-06
Bicamada,KCl,0.1,0.03,10,0,139,pos,8.112194230610233e-05,3.0586206369970214e-06,-1.773128133208957e-08,3.515048086498371e-09,5.256682234625451e-06,1.72841843379131e-06
Bicamada,KCl,0.1,0.03,10,1,1,neg,8.114048773677496e-05,3.0185730689670896e-06,0.0,0.0,0.0,0.0
Bicamada,KCl,0.1,0.03,10,1,2,neg,8.124438431877934e-05,2.99548836340752e-06,1.0389658200438138e-07,2.781493219935385e-08,5.8905226020054754e-06,2.544372644759454e-06
Bicamada,KCl,0.1,0.03,10,1,3,neg,8.129755216638539e-05,2.9792581114548688e-06,5.316784760604302e-08,1.8980213191041442e-08,4.981261320686592e-06,2.1518832055596292e-06
Bicamada,KCl,0.1,0.03,10,1,4,neg,8.133636166955209e-05,2.9871109938436195e-06,3.880950316670803e-08,1.2705267103600356e-08,4.696324328352294e-06,1.861739901920837e-06
Bicamada,KCl,0.1,0.03,10,1,5,neg,8.136649724595675e-05,2.984226984161317e-06,3.013557640466543e-08,4.449179764646059e-09,6.848589113963973e-06,1.2968710865050798e-06
